Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-June-2025,548.20,558.55,533.00,536.30,544.580073877323017886,452913,10968,246647395.00,146953,32.45,25.55,-11.90
18-June-2025,556.25,560.25,550.00,550.90,554.006465449103689574,189778,4040,105138239.00,86397,45.53,10.25,-5.35
17-June-2025,565.85,571.10,556.85,558.15,562.646103641466134262,293261,6434,165002159.00,114960,39.20,14.25,-7.70
16-June-2025,567.35,571.90,555.00,563.15,563.569894935468210422,436684,11961,246101956.00,153921,35.25,16.90,-4.20
13-June-2025,554.15,578.35,549.45,570.95,566.685785107205068926,779021,16814,441460127.00,234136,30.06,28.90,16.80
12-June-2025,588.90,588.90,565.15,567.30,573.442361845165109297,473020,10532,271249706.00,203485,43.02,23.75,-21.60
11-June-2025,601.00,603.90,583.00,587.00,591.839743212588336046,1070769,20961,633723650.00,414180,38.68,20.90,-14.00
10-June-2025,565.30,610.00,562.30,596.30,594.830582883318076985,4256152,66645,2531689375.00,1443790,33.92,47.70,31.00
9-June-2025,557.30,573.85,556.40,563.30,563.517049846109521263,360971,6260,203413313.00,128000,35.46,17.45,6.00
6-June-2025,548.20,563.80,548.20,555.20,557.050212042571276143,331773,5570,184814220.00,112296,33.85,15.60,7.00
5-June-2025,547.20,553.45,546.60,547.60,549.777630371017218602,178644,3748,98214475.00,64377,36.04,6.85,0.40
4-June-2025,545.25,549.80,538.95,544.95,544.150950251387842552,374322,3986,203687672.00,246045,65.73,10.85,-0.30
3-June-2025,551.90,554.00,540.00,543.75,547.007895609627365740,280409,5191,153385937.00,141147,50.34,14.00,-8.15
2-June-2025,545.05,559.70,544.90,554.95,554.208719404423973006,578801,10740,320776561.00,236767,40.91,14.80,9.90
30-May-2025,553.30,555.45,541.20,544.60,550.048691825004147514,409884,11132,225456158.00,153020,37.33,14.25,-8.70
29-May-2025,554.15,558.50,551.20,551.95,553.877570225031305803,404877,7547,224252289.00,146292,36.13,7.30,-2.20
28-May-2025,555.50,567.00,534.05,550.90,557.963018638772755213,671879,13476,374883635.00,216152,32.17,32.95,-4.60
27-May-2025,559.00,560.00,550.30,552.85,555.452274491605913808,230579,3982,128075630.00,63940,27.73,9.70,-6.15
26-May-2025,557.00,570.00,556.10,558.45,563.381845634315030684,307970,6333,173504707.00,120870,39.25,13.90,1.45
23-May-2025,555.55,560.20,551.15,553.10,555.064657316435461722,470434,9206,261121287.00,146198,31.08,9.05,-2.45
22-May-2025,551.35,560.85,549.05,553.95,555.490526187344443387,557273,9878,309559872.00,150571,27.02,11.80,2.60
21-May-2025,557.55,560.65,546.85,551.30,553.425077699693160447,252575,5234,139781339.00,76654,30.35,13.80,-6.25
20-May-2025,563.05,567.40,552.85,555.95,559.648719846381565787,499940,10765,279790781.00,170566,34.12,14.55,-7.10
19-May-2025,567.50,573.45,559.20,562.75,565.724071923735275599,316057,6060,178801053.00,101297,32.05,14.25,-4.75
16-May-2025,545.65,569.30,543.30,565.40,559.864485126392576041,1027592,15383,575312266.00,329113,32.03,26.00,19.75
